CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,4,-,-,-,"4,400.00",-,"1,800","3,390.40","4,388.10","1,500","17,350.00",-,-,0.05,"18,200",-0.15,0.05,111.32,"1,20,771","-27,101","14,254",
,209,-88,294,-,"3,892.30",-237.25,250,"3,892.30","4,042.45","1,500","17,400.00",-,-,0.05,"19,400",-0.45,0.05,109.87,"25,469","-2,757","2,688",
,-,-,-,-,-,-,"1,500","3,694.95","4,008.35","1,500","17,450.00",-,-,0.05,"2,750",-0.55,0.05,108.42,"19,214","-2,325","1,462",
,736,-446,"1,181",158.36,"3,861.70",-124.50,50,"3,849.75","3,863.65",500,"17,500.00","25,500",0.05,0.10,"10,900",-0.50,0.05,106.97,"18,491","-5,597","8,622",
,5,-,-,-,"4,050.00",-,"1,500","3,663.15","3,897.95","1,500","17,550.00","4,650",0.05,0.10,50,-0.65,0.05,105.53,"3,521",13,706,
,1,-1,3,-,"3,683.85",33.85,"1,550","3,644.50","3,789.55","1,650","17,600.00",-,-,0.10,"3,750",-0.60,0.05,104.09,"7,855",-714,"1,340",
,-,-,-,-,-,-,"1,500","3,555.15","3,796.90","1,500","17,650.00","3,150",0.05,0.10,200,-0.65,0.05,102.66,"3,186",-598,579,
,-,-,-,-,-,-,"1,500","3,340.40","3,941.60","1,500","17,700.00",-,-,0.10,"1,700",-0.65,0.05,101.22,"1,635",-292,253,
,15,-18,33,190.81,"3,631.70",80.70,200,"3,585.60","3,698.75","1,500","17,750.00",-,-,0.10,400,-0.60,0.10,104.63,"3,023",-701,171,
,53,-79,133,-,"3,544.40",-115.60,150,"3,544.70","3,627.50","1,500","17,800.00",-,-,0.05,"10,950",-0.55,0.05,98.37,"4,728",-69,"1,467",
,2,-,2,-,"3,470.00",90.00,"1,500","3,316.15","3,583.55","1,500","17,850.00",-,-,0.10,450,-0.60,0.10,101.65,"2,614",-247,304,
,13,-43,60,-,"3,368.40",-91.60,300,"3,403.25","3,472.35",200,"17,900.00","18,750",0.05,0.10,"6,400",-0.60,0.05,95.52,"9,273",-41,"2,463",
,-,-,-,-,-,-,"1,500","2,986.20","3,721.80","1,500","17,950.00",-,-,0.30,"1,800",-0.60,0.15,101.67,"3,629","-1,079",323,
,"3,879",-656,"3,390",123.27,"3,359.10",-110.05,200,"3,346.20","3,365.10",50,"18,000.00","40,800",0.05,0.10,"6,900",-0.35,0.05,92.69,"26,152","-3,091","9,829",
,1,-,-,-,"3,671.00",-,"1,500","3,119.70","3,370.60","1,500","18,050.00",-,-,0.15,"6,500",-0.65,0.15,98.64,"2,889",-709,272,
,27,-15,37,-,"3,178.00",-199.75,50,"3,250.30","3,335.45","1,500","18,100.00",-,-,0.05,"2,450",-0.65,0.05,89.86,"3,359",-636,642,
,2,-,2,-,"3,150.00",-550.00,"1,500","2,992.40","3,307.60","1,500","18,150.00",-,-,0.05,500,-0.70,0.05,88.46,"1,701",-509,277,
,54,-8,25,-,"3,070.00",-210.65,100,"3,144.40","3,227.35","1,500","18,200.00",-,-,0.05,"4,250",-0.65,0.05,87.05,"4,618",-628,"1,254",
,-,-,-,-,-,-,"1,500","2,838.10","3,377.40","1,500","18,250.00",-,-,0.05,"4,350",-0.70,0.05,85.65,"4,233","-1,172",201,
,34,-24,49,-,"2,965.00",-57.40,200,"3,043.10","3,067.25",500,"18,300.00",-,-,0.05,"16,350",-0.65,0.05,84.25,"3,787",-320,"1,438",
,-,-2,2,-,"2,925.00",-650.00,"1,500","2,767.60","3,073.00","1,500","18,350.00",-,-,0.10,350,-0.70,0.10,86.96,"5,504",-494,486,
,28,-12,34,-,"2,878.90",-99.10,"1,500","2,721.45","3,036.35","1,500","18,400.00",-,-,0.10,"22,500",-0.60,0.10,85.50,"4,850",-390,"1,301",
,1,-2,3,-,"2,850.00",-560.00,"1,500","2,812.00","3,007.60","1,500","18,450.00",-,-,0.05,"1,550",-0.70,0.05,80.07,"4,504",-260,222,
,"2,028",-441,"2,401",103.90,"2,859.05",-108.10,500,"2,851.90","2,858.75","1,000","18,500.00",-,-,0.05,"1,83,400",-0.35,0.05,78.68,"80,772","-8,969","14,445",
,-,-,-,-,-,-,"1,800","2,394.95","2,981.00","1,000","18,550.00",-,-,0.05,300,-0.65,0.10,81.15,"3,851",-574,261,
,29,-20,33,-,"2,668.55",-58.35,100,"2,741.55","2,766.60",100,"18,600.00","24,100",0.05,0.10,150,-0.70,0.05,75.91,"7,688","-1,216","1,568",
,-,-,-,-,-,-,"1,500","2,306.05","2,931.20","1,500","18,650.00",-,-,0.15,"1,700",-0.65,0.15,80.69,"2,464","-1,040",125,
,27,-5,19,-,"2,651.85",-117.30,100,"2,640.90","2,671.05",200,"18,700.00",-,-,0.10,100,-0.75,0.05,73.15,"4,947",-950,"2,597",
,11,-,-,-,"2,861.00",-,"1,500","2,448.20","2,657.90","1,800","18,750.00","3,600",0.05,0.10,50,-0.70,0.05,71.77,"1,699",-421,227,
,19,-4,8,-,"2,506.45",-143.55,50,"2,542.00","2,565.65",100,"18,800.00","10,100",0.05,0.10,"2,300",-0.70,0.10,73.95,"2,680",-325,"1,994",
,-,-,-,-,"2,400.00",-,"1,500","2,310.55","2,716.70","1,000","18,850.00",-,-,0.15,700,-0.80,0.05,69.03,"2,125",-667,190,
,25,-3,43,-,"2,435.50",-34.50,100,"2,446.55","2,469.25",250,"18,900.00","27,850",0.05,0.10,500,-0.75,0.05,67.66,"11,774",-779,"1,147",
,-,-,-,-,-,-,"1,500","2,224.50","2,533.25","1,500","18,950.00",-,-,0.05,100,-0.80,0.05,66.29,"1,516",-403,139,
,"5,357",-799,"2,838",-,"2,352.20",-125.45,200,"2,352.20","2,358.65",250,"19,000.00","73,850",0.05,0.10,"2,200",-0.55,0.15,70.38,"52,300","-8,157","43,705",
,1,-,-,-,"2,840.65",-,"1,500","1,925.40","2,504.65","1,500","19,050.00",-,-,0.10,450,-0.75,0.10,66.80,"5,844",-306,431,
,68,-7,26,-,"2,170.00",-192.50,100,"2,241.60","2,260.65",50,"19,100.00","10,250",0.05,0.10,350,-0.70,0.05,62.19,"6,546","-1,175","1,630",
,16,-,-,-,"2,173.10",-,"1,500","2,015.30","2,330.85","1,500","19,150.00",-,-,0.05,50,-0.80,0.05,60.83,"2,294",-292,416,
,60,-31,55,-,"2,140.00",-125.00,100,"2,142.10","2,160.70",50,"19,200.00",-,-,0.10,"1,750",-0.70,0.10,62.54,"8,826","-1,801","1,328",
,24,-,-,-,"2,073.55",-,"1,500","2,000.05","2,293.15","1,500","19,250.00",-,-,0.15,"2,900",-0.45,0.15,63.08,"4,068",-562,709,
,148,-23,137,-,"2,030.00",-19.00,100,"2,043.45","2,060.70",50,"19,300.00","3,500",0.05,0.10,50,-0.60,0.15,61.62,"5,025",-498,"2,582",
,27,-,-,-,"1,993.15",-,300,"1,975.85","2,049.90","3,600","19,350.00","3,500",0.05,0.15,"2,100",-0.75,0.05,55.41,"3,932",-176,899,
,202,-4,129,-,"1,953.50",34.10,500,"1,942.50","1,958.00",500,"19,400.00",-,-,0.05,"1,800",-0.75,0.05,54.05,"13,457","-1,877","2,626",
,24,-1,1,-,"1,890.15",19.40,50,"1,877.60","1,949.90","1,700","19,450.00",-,-,0.05,"3,350",-0.80,0.05,52.70,"13,438","-2,282",966,
,"3,634",-233,"1,717",-,"1,856.05",-129.20,50,"1,852.20","1,856.55",250,"19,500.00","18,350",0.05,0.10,"2,600",-0.65,0.10,54.05,"79,738","-17,253","28,862",
,65,-2,2,-,"1,743.20",-35.55,"1,500","1,636.85","1,900.75","1,500","19,550.00",-,-,0.15,"4,000",-0.80,0.05,50.01,"5,325",-593,"1,595",
,310,-33,261,-,"1,755.00",-117.45,50,"1,742.65","1,767.85",600,"19,600.00",-,-,0.05,"11,950",-0.65,0.05,48.66,"13,408",-781,"3,673",
,5,-,1,-,"1,648.90",-52.10,"1,500","1,491.30","1,729.65",600,"19,650.00",-,-,0.10,150,-0.70,0.10,49.82,"3,968",-152,285,
,566,-7,150,-,"1,646.80",-138.80,300,"1,643.20","1,666.70",300,"19,700.00",-,-,0.10,"5,150",-0.65,0.05,45.97,"16,962","-1,596","2,436",
,12,-13,18,-,"1,589.10",89.10,"1,500","1,510.20","1,629.65",600,"19,750.00",-,-,0.05,"7,150",-0.65,0.05,44.63,"6,820",3,728,
,952,-1,318,-,"1,554.85",-121.65,200,"1,553.50","1,557.90",100,"19,800.00",550,0.05,0.15,"2,600",-0.65,0.05,43.28,"26,370","-2,566","8,967",
,54,-1,9,-,"1,430.00",-160.60,50,"1,496.60","1,511.60",100,"19,850.00",-,-,0.15,"1,300",-0.55,0.15,45.68,"14,634","-1,035","1,067",
,535,-,158,-,"1,447.45",-119.20,200,"1,444.05","1,459.80",100,"19,900.00",-,-,0.30,400,-0.45,0.25,46.24,"40,978",-432,"6,660",
,53,-2,6,-,"1,324.00",-133.25,100,"1,397.55","1,444.80",600,"19,950.00",-,-,0.05,"22,500",-0.75,0.05,39.26,"28,389","-2,172","1,558",
,"8,233",-576,"5,884",-,"1,354.95",-134.80,150,"1,351.40","1,358.10",250,"20,000.00",-,-,0.05,"62,000",-0.65,0.05,37.92,"3,48,089","-28,582","50,649",
,59,-9,45,-,"1,295.40",-59.60,100,"1,298.15","1,344.65","1,700","20,050.00",-,-,0.05,"14,650",-0.75,0.05,36.58,"41,197","-1,574","1,681",
,669,-52,268,-,"1,252.60",-142.10,200,"1,250.80","1,266.40",100,"20,100.00",-,-,0.05,"1,14,850",-0.65,0.05,35.24,"1,97,595","-3,826","18,642",
,28,-8,24,-,"1,175.65",-149.95,100,"1,198.00","1,244.75",600,"20,150.00",-,-,0.05,"27,200",-0.80,0.05,33.90,"68,969","-1,476","5,031",
,746,-74,374,-,"1,150.15",-123.90,350,"1,146.55","1,152.10",100,"20,200.00",-,-,0.05,"50,400",-0.80,0.05,32.56,"2,10,826","-4,543","23,183",
,127,-23,39,-,"1,105.00",-127.30,50,"1,099.35","1,106.15",500,"20,250.00",-,-,0.05,"6,500",-0.95,0.05,31.22,"78,525","-1,329","4,027",
,557,-97,510,-,"1,052.55",-132.30,50,"1,049.60","1,058.45",400,"20,300.00",-,-,0.05,"40,300",-0.95,0.05,29.88,"2,83,624","-14,115","23,167",
,73,-51,71,-,994.45,-142.25,100,999.40,"1,004.25",250,"20,350.00",-,-,0.10,"6,100",-1.00,0.05,28.54,"1,35,902","-1,790","7,451",
,758,-29,638,-,952.25,-134.10,250,951.00,954.15,250,"20,400.00",-,-,0.05,400,-1.05,0.10,28.75,"3,81,343","-11,431","20,801",
,63,-25,54,-,896.60,-117.90,100,899.55,904.00,250,"20,450.00",-,-,0.05,"32,300",-1.25,0.05,25.85,"1,45,719","-3,712","7,085",
,"6,253",-407,"3,706",-,852.85,-131.55,150,851.65,852.85,50,"20,500.00","1,68,200",0.05,0.10,"5,700",-1.40,0.05,24.51,"11,63,252","-62,917","88,722",
,156,-7,147,-,794.60,-121.30,300,792.90,805.65,250,"20,550.00",-,-,0.05,"14,750",-1.45,0.05,23.16,"2,22,352","-4,760","8,243",
,928,-38,"1,116",-,754.30,-116.60,50,751.25,766.95,100,"20,600.00",-,-,0.05,"2,87,950",-1.60,0.05,21.81,"7,10,540","-10,940","38,735",
,191,104,214,-,698.95,-114.90,50,700.10,705.40,850,"20,650.00",-,-,0.05,"79,350",-1.75,0.05,20.46,"4,77,367","-8,861","16,757",
,886,-22,"1,720",-,653.80,-133.20,150,650.70,660.85,500,"20,700.00",-,-,0.05,"2,62,500",-2.00,0.05,19.10,"16,42,592","-26,058","77,706",
,576,347,"1,028",-,593.55,-125.05,50,601.15,604.20,50,"20,750.00",-,-,0.05,"2,800",-2.10,0.05,17.74,"12,32,614","-13,980","29,684",
,"2,074",-889,"4,367",-,551.50,-134.40,50,551.80,553.70,50,"20,800.00",-,-,0.05,"7,76,600",-2.50,0.05,16.38,"28,46,686","-14,470","93,327",
,398,23,"1,223",-,502.95,-130.75,50,500.90,504.00,50,"20,850.00",-,-,0.05,"1,09,450",-3.10,0.05,15.01,"18,76,218","6,110","34,689",
,"1,215","-1,636","7,692",-,452.70,-126.20,50,451.40,460.55,500,"20,900.00",-,-,0.05,"6,91,700",-3.80,0.05,13.64,"29,44,275","-9,394","81,249",
,628,14,"4,666",-,402.75,-129.55,50,401.50,402.75,100,"20,950.00",-,-,0.05,"1,40,000",-4.50,0.05,12.26,"29,17,720","4,372","39,534",
,"10,916","-4,091","93,366",-,353.20,-132.90,250,351.90,353.20,250,"21,000.00",-,-,0.05,"9,46,200",-5.60,0.05,10.86,"70,29,842","-37,892","1,36,131",
,"1,908","-1,581","25,063",-,301.45,-127.45,50,301.45,302.80,50,"21,050.00",-,-,0.10,"21,200",-6.75,0.10,10.10,"50,26,871","-12,514","24,841",
,"5,374",-745,"2,69,920",-,251.45,-131.05,150,251.65,252.45,150,"21,100.00","1,89,000",0.05,0.10,"18,850",-8.30,0.05,8.60,"81,16,237","-32,899","57,633",
,"11,331",200,"3,21,460",-,201.20,-130.00,50,201.15,201.95,500,"21,150.00","1,05,300",0.05,0.10,"7,450",-10.70,0.05,6.61,"83,74,078","1,601","52,507",
,"48,456","3,946","25,43,233",-,151.30,-136.85,50,151.20,152.00,"4,450","21,200.00","1,37,550",0.05,0.15,"65,300",-13.95,0.05,5.16,"1,68,61,796","-17,182","1,23,423",
,"71,022","33,867","63,20,527",-,101.50,-139.45,"5,350",101.50,101.95,100,"21,250.00",-,-,0.05,"12,45,100",-18.45,0.05,3.66,"1,93,18,929","1,42,873","2,12,200",
,"2,98,258","2,33,848","2,17,52,046",-,52.00,-147.20,"55,050",52.00,52.20,150,"21,300.00",-,-,0.05,"5,76,900",-24.85,0.05,2.11,"1,82,33,461","30,125","1,82,704",
,"2,02,131","1,72,758","1,88,57,347",-,2.10,-155.55,"4,350",2.10,2.65,150,"21,350.00",-,-,0.05,"17,800",-34.45,0.05,0.40,"76,92,324","21,275","77,507",
,"2,01,719","1,23,070","1,46,09,154",2.57,0.95,-120.35,350,0.35,0.95,"12,050","21,400.00",100,47.60,48.00,300,-0.25,47.40,4.52,"58,15,184","-96,179","58,205",
,"89,859","17,539","93,52,928",3.39,0.10,-90.65,"3,350",0.10,0.50,"3,450","21,450.00",200,97.60,98.45,"1,000",31.50,97.75,7.64,"18,55,110","-28,004","31,900",
,"1,40,067","-9,743","1,00,39,884",4.98,0.10,-65.25,"1,60,350",0.10,0.75,400,"21,500.00",200,147.15,147.90,50,59.20,147.65,10.29,"14,51,187","-48,144","29,875",
,"61,981","-21,325","64,98,833",7.04,0.20,-44.50,"1,650",0.15,0.60,"1,050","21,550.00",50,197.15,198.00,600,78.55,197.60,12.80,"2,46,203","-11,809","4,738",
,"1,05,212","-58,878","66,69,427",8.63,0.20,-29.10,"9,64,150",0.05,0.40,"5,950","21,600.00",50,247.15,248.55,100,94.30,248.10,15.52,"2,69,501","-13,944","16,193",
,"69,591","-27,159","39,34,913",10.67,0.30,-18.50,"50,550",0.30,0.35,"5,350","21,650.00",100,297.15,298.60,50,105.60,297.50,17.50,"40,345","-7,532","4,000",
,"1,26,777","-77,149","46,54,142",11.71,0.20,-11.50,"2,38,250",0.10,0.20,"1,41,550","21,700.00",700,348.15,348.90,50,111.00,348.15,20.22,"66,126","-17,434","22,694",
,"51,532","-52,428","26,72,428",11.57,0.05,-7.10,-,-,0.05,"83,400","21,750.00",50,396.90,398.25,50,114.75,397.95,22.33,"8,424","-2,864","11,735",
,"1,23,763","-48,338","32,38,730",12.90,0.05,-4.40,"1,300",0.05,0.10,"99,450","21,800.00",50,446.25,447.50,"4,000",119.75,447.50,24.16,"49,939","-15,599","13,992",
,"40,865","-33,269","15,98,833",14.22,0.05,-3.00,-,-,0.05,"6,150","21,850.00",50,496.75,498.00,50,119.35,497.95,26.68,"2,652",-708,"4,584",
,"98,480","-33,046","24,83,816",15.52,0.05,-2.05,-,-,0.05,"29,150","21,900.00",50,546.70,555.00,100,121.00,549.60,30.16,"7,678","-2,846","7,224",
,"53,048","-8,267","11,93,215",16.81,0.05,-1.45,-,-,0.05,"3,13,000","21,950.00",50,596.15,599.65,50,129.35,600.45,32.99,"1,109",-206,"1,709",
,"1,81,118","-56,142","26,71,174",18.09,0.05,-1.15,-,-,0.05,"5,01,300","22,000.00",50,647.40,651.60,250,120.05,649.10,34.01,"23,783","-9,582","15,053",
,"47,792","-16,465","7,16,406",19.36,0.05,-0.85,-,-,0.05,"1,62,300","22,050.00",100,695.00,701.50,250,136.90,704.15,40.09,415,-245,"2,438",
,"51,937","-45,035","9,25,075",20.62,0.05,-0.80,-,-,0.05,"3,67,250","22,100.00",250,741.30,765.25,600,124.95,744.85,33.16,"1,592",-915,"3,993",
,"20,621","-11,730","3,09,629",21.88,0.05,-0.65,-,-,0.05,"1,25,000","22,150.00",350,790.90,802.45,50,136.55,805.70,45.59,274,-23,"1,321",
,"70,288","-35,304","8,12,158",23.12,0.05,-0.60,-,-,0.05,"4,62,400","22,200.00",50,846.00,870.10,50,135.25,851.60,44.54,"1,034",-600,"1,102",
,"21,587","-7,346","2,09,773",25.76,0.10,-0.60,"20,300",0.05,0.10,"1,850","22,250.00",300,880.90,901.50,200,136.25,910.25,53.10,130,-42,670,
,"45,587","-17,608","5,32,973",25.59,0.05,-0.55,-,-,0.05,"58,350","22,300.00",50,944.05,974.70,50,141.80,952.10,49.11,502,-240,603,
,"33,526","-23,540","1,91,105",26.81,0.05,-0.65,-,-,0.05,"14,000","22,350.00",200,991.85,"1,018.00",600,149.10,"1,003.30",52.22,87,-22,"1,049",
,"36,259","-12,437","3,61,319",28.02,0.05,-0.55,-,-,0.05,"1,35,400","22,400.00",100,"1,041.75","1,052.75",500,115.20,"1,052.00",53.07,243,-133,531,
,"19,553","-2,721","1,34,385",29.23,0.05,-0.50,-,-,0.05,"1,91,700","22,450.00",300,"1,076.85","1,118.00",600,116.30,"1,099.45",52.39,56,-10,481,
,"1,20,527","3,805","11,19,021",30.43,0.05,-0.50,-,-,0.05,"9,30,850","22,500.00",350,"1,150.00","1,163.15",600,132.40,"1,151.05",56.09,"2,923",-551,"4,181",
,"25,346","11,450","1,49,855",31.63,0.05,-0.50,-,-,0.05,"3,90,000","22,550.00",300,"1,176.85","1,218.25",600,159.75,"1,233.45",80.05,25,-1,274,
,"42,362","5,099","5,04,566",32.82,0.05,-0.40,-,-,0.05,"4,34,400","22,600.00",200,"1,247.35","1,252.80",500,114.50,"1,252.05",61.04,87,-29,623,
,"5,868","-5,980","62,891",34.00,0.05,-0.40,-,-,0.05,"38,400","22,650.00",300,"1,276.85","1,318.25",600,199.60,"1,352.00",93.68,1,-1,153,
,"18,323","-11,109","87,720",35.18,0.05,-0.35,"91,200",0.05,0.10,"2,100","22,700.00",50,"1,346.05","1,360.15",200,102.45,"1,353.65",66.58,347,-47,529,
,"4,821","-2,768","29,001",36.36,0.05,-0.35,-,-,0.10,"1,150","22,750.00",300,"1,376.85","1,418.00",600,-,"1,510.90",-,-,-,44,
,"17,198","-7,559","65,510",37.52,0.05,-0.35,-,-,0.05,"15,600","22,800.00",100,"1,445.80","1,463.20",600,117.20,"1,460.10",76.40,82,-13,199,
,"4,665",199,"36,529",38.69,0.05,-0.30,-,-,0.05,"20,200","22,850.00","1,500","1,317.05","1,608.50","1,500",-,"1,233.20",-,-,-,19,
,"10,777","-4,723","45,439",41.98,0.05,-0.40,-,-,0.10,"6,950","22,900.00",400,"1,540.80","1,551.30",200,128.25,"1,562.20",82.18,153,-2,"2,095",
,"2,592",-979,"12,524",41.00,0.05,-0.40,-,-,0.10,850,"22,950.00",100,"1,582.70","1,609.65",50,200.00,"1,675.00",118.56,15,-8,104,
,"83,445","-32,720","1,89,815",45.86,0.15,-0.40,"27,400",0.10,0.15,"4,050","23,000.00",250,"1,646.55","1,651.50",200,125.15,"1,651.80",75.92,"3,207","-1,081","3,095",
,"3,975",-961,"20,457",43.29,0.05,-0.30,-,-,0.05,"27,750","23,050.00","1,500","1,461.35","1,833.55","1,500",-,"1,308.25",-,-,-,4,
,"13,426","-1,727","73,949",44.42,0.05,-0.25,-,-,0.05,"66,900","23,100.00",50,"1,741.65","1,755.75",500,116.65,"1,745.85",70.13,78,-6,85,
,"4,925",-329,"18,483",45.56,0.05,-0.25,-,-,0.05,"50,750","23,150.00","1,800","1,539.15","1,884.10","1,500",-,"1,920.00",-,-,-,12,
,"7,845","-4,239","41,222",46.69,0.05,-0.25,-,-,0.05,"10,450","23,200.00",100,"1,841.60","1,912.65","1,500",123.70,"1,865.00",96.54,10,-,40,
,"1,771",-511,"8,337",47.81,0.05,-0.25,-,-,0.05,"3,550","23,250.00","1,500","1,627.20","2,021.75","1,500",-,"1,950.20",-,-,-,3,
,"9,991","-3,471","39,469",48.93,0.05,-0.25,-,-,0.05,"26,100","23,300.00",100,"1,943.55","2,071.55","1,000",158.65,"1,970.85",105.15,57,-24,78,
,"1,087",-694,"4,654",50.05,0.05,-0.25,-,-,0.05,"11,950","23,350.00","1,500","1,718.00","2,126.10","1,500",-,-,-,-,-,-,
,"4,777","-2,614","20,038",51.16,0.05,-0.40,-,-,0.05,"14,350","23,400.00",100,"2,022.00","2,123.25","3,000",105.00,"2,085.00",118.95,30,-2,44,
,"2,962",-761,"14,738",52.27,0.05,-0.25,-,-,0.05,"12,700","23,450.00","1,500","2,028.05","2,231.15","1,500",-,"2,018.40",-,-,-,1,
,"39,347","-20,124","1,02,809",53.37,0.05,-0.45,-,-,0.05,"2,26,750","23,500.00",700,"2,122.00","2,168.65",600,110.35,"2,140.35",-,119,-9,107,
,"1,619","-1,088","11,617",54.47,0.05,-0.40,-,-,0.05,"3,600","23,550.00","1,500","2,122.00","2,335.75","1,500",-,-,-,-,-,-,
,"7,790",-188,"15,519",55.57,0.05,-0.25,-,-,0.05,"55,050","23,600.00","1,500","2,167.80","2,385.50","1,500",-,-,-,-,-,-,
,"2,616",-249,"7,958",56.66,0.05,-0.30,-,-,0.05,"6,200","23,650.00","1,500","2,023.40","2,390.30","1,500",-,-,-,-,-,-,
,"10,037",-714,"22,455",57.75,0.05,-0.25,-,-,0.05,"89,450","23,700.00","1,500","2,208.15","2,456.90","1,500",-,"2,250.00",-,-,-,7,
,"2,223",-406,"5,986",58.83,0.05,-0.30,-,-,0.05,"29,550","23,750.00","1,500","2,260.00","2,507.50","1,500",-,"2,465.50",-,-,-,20,
,"38,630","-1,625","83,522",59.91,0.05,-0.35,-,-,0.05,"2,79,750","23,800.00","1,500","2,286.15","2,542.70","1,500",-,"2,523.35",-,-,-,23,
,"26,262","-2,330","33,990",60.99,0.05,-0.40,-,-,0.05,"1,05,050","23,850.00","1,500","2,288.25","2,592.45","1,500",-,"2,537.55",-,-,-,22,
