timestamp,price,signal,MACD,Signal_Line,trend,stop_loss,target,profit_loss,index_price,ATM_strike,entry_price,stoploss,exit,profit_and_loss,MACD_trend
2024-04-19 14:26:00,435.15,buy,1.8927485094694134,0.37521544206726504,up,408.63012980742155,455.15,,435.15,22050,435.15,408.63012980742155,588.85,153.70000000000005,up
2024-05-03 12:34:00,588.85,sell,-0.1850998757247453,1.0754373162195545,down,593.2648257489475,568.85,153.70000000000005,588.85,22050,588.85,593.2648257489475,598.8,9.949999999999932,down
2024-05-03 12:42:00,598.8,buy,0.3426677051038496,-0.06050886222441501,up,593.1726848519247,618.8,-9.949999999999932,598.8,22050,598.8,593.1726848519247,598.4,-0.39999999999997726,up
2024-05-03 12:53:00,598.4,sell,-0.17215860948863337,1.3712879736852719,down,603.7315794035749,578.4,-0.39999999999997726,598.4,22050,598.4,603.7315794035749,525.95,-72.44999999999993,down
2024-05-03 14:30:00,525.95,buy,1.991782794846074,0.3706917060217518,up,497.91032468281463,545.95,72.44999999999993,525.95,22050,525.95,497.91032468281463,539.55,13.599999999999909,up
2024-05-06 09:40:00,539.55,sell,-1.68893421863811,3.0906732349597927,down,603.3056273670851,519.55,13.599999999999909,539.55,22050,539.55,603.3056273670851,553.2,13.650000000000091,down
2024-05-06 10:23:00,553.2,buy,0.6395080937820694,-0.24263173677987673,up,541.334713389976,573.2,-13.650000000000091,553.2,22050,553.2,541.334713389976,565.25,12.049999999999955,up
2024-05-06 11:11:00,565.25,sell,-0.47033910275183644,0.8987956290935296,down,578.8292828489135,545.25,12.049999999999955,565.25,22050,565.25,578.8292828489135,551.9,-13.350000000000023,down
2024-05-06 11:43:00,551.9,buy,0.048978055365978435,-0.6151790927338372,up,550.7476424408048,571.9,13.350000000000023,551.9,22050,551.9,550.7476424408048,570.75,18.850000000000023,up
2024-05-06 12:21:00,570.75,sell,-0.19844563167850993,0.48894048986564864,down,573.6572429160118,550.75,18.850000000000023,570.75,22050,570.75,573.6572429160118,526.8,-43.950000000000045,down
2024-05-06 13:37:00,526.8,buy,0.28468753663389634,-1.104085442535664,up,514.3348646591734,546.8,43.950000000000045,526.8,22050,526.8,514.3348646591734,513.65,-13.149999999999977,up
2024-05-06 14:01:00,513.65,sell,-0.9081094348574652,0.5613919505415271,down,527.101396492812,493.65,-13.149999999999977,513.65,22050,513.65,527.101396492812,531.15,17.5,down
2024-05-06 14:22:00,531.15,buy,0.4556277990041053,-0.43672574152862675,up,521.4869451689666,551.15,-17.5,531.15,22050,531.15,521.4869451689666,512.85,-18.299999999999955,up
2024-05-06 14:29:00,512.85,sell,-0.18140124226761145,0.2659336348846575,down,521.644732923499,492.85,-18.299999999999955,512.85,22050,512.85,521.644732923499,529.1,16.25,down
2024-05-06 14:45:00,529.1,buy,1.1014724708161907,-1.095551323072568,up,510.71144123250116,549.1,-16.25,529.1,22050,529.1,510.71144123250116,511.45,-17.650000000000034,up
2024-05-06 14:59:00,511.45,sell,-0.673697707419251,0.9904825390848015,down,522.6778321678032,491.45,-17.650000000000034,511.45,22050,511.45,522.6778321678032,525.4,13.949999999999989,down
2024-05-06 15:05:00,525.4,buy,0.10664241190193025,-0.16127759117125134,up,522.5665152357967,545.4,-13.949999999999989,525.4,22050,525.4,522.5665152357967,521.0,-4.399999999999977,up
2024-05-06 15:27:00,521.0,buy,0.01949890011746902,-0.13013245992872566,up,519.5452094328716,541.0,4.399999999999977,521.0,22050,521.0,519.5452094328716,519.0,-2.0,up
2024-05-07 09:38:00,519.0,sell,-0.5421503461432167,1.2801663558599747,down,532.3537970383743,499.0,-2.0,519.0,22050,519.0,532.3537970383743,537.2,18.200000000000045,down
2024-05-07 09:49:00,537.2,buy,0.32090263901829985,-0.9232342014173378,up,526.699082431145,557.2,-18.200000000000045,537.2,22050,537.2,526.699082431145,462.5,-74.70000000000005,up
2024-05-07 10:01:00,462.5,sell,-3.28827017699291,0.2257063680947088,down,521.5383824394207,442.5,-74.70000000000005,462.5,22050,462.5,521.5383824394207,429.2,-33.30000000000001,down
2024-05-07 11:05:00,429.2,buy,0.6998290297988206,-1.9303981193433775,up,417.9596131066231,449.2,33.30000000000001,429.2,22050,429.2,417.9596131066231,416.0,-13.199999999999989,up
2024-05-07 11:14:00,416.0,sell,-0.0509556411375911,0.23238205176340718,down,419.32741428133005,396.0,-13.199999999999989,416.0,22050,416.0,419.32741428133005,393.0,-23.0,down
2024-05-07 11:47:00,393.0,buy,0.5408872531458542,-1.6439823547340682,up,370.93193116024537,413.0,23.0,393.0,22050,393.0,370.93193116024537,367.55,-25.44999999999999,up
2024-05-07 12:00:00,367.55,sell,-0.26268567374904706,1.0530090432643633,down,379.8655094630321,347.55,-25.44999999999999,367.55,22050,367.55,379.8655094630321,383.9,16.349999999999966,down
2024-05-07 12:16:00,383.9,buy,0.3303863407648464,-0.7446140519702296,up,371.65966427792864,403.9,-16.349999999999966,383.9,22050,383.9,371.65966427792864,379.7,-4.199999999999989,up
2024-05-07 12:36:00,379.7,sell,-0.1373387852733572,0.6291413000379263,down,382.4200446456231,359.7,-4.199999999999989,379.7,22050,379.7,382.4200446456231,365.0,-14.699999999999989,down
2024-05-07 13:23:00,365.0,buy,0.20214553020366566,-0.7206048263793579,up,350.60014266554685,385.0,14.699999999999989,365.0,22050,365.0,350.60014266554685,393.45,28.44999999999999,up
2024-05-07 13:59:00,393.45,sell,-0.0409887165636178,0.9230181634184318,down,394.6550907087218,373.45,28.44999999999999,393.45,22050,393.45,394.6550907087218,395.7,2.25,down
2024-05-07 14:11:00,395.7,buy,0.015417042437945838,-0.043117691000432085,up,393.98281320292284,415.7,-2.25,395.7,22050,395.7,393.98281320292284,364.5,-31.19999999999999,up
2024-05-07 14:23:00,364.5,sell,-1.6812522884583245,-0.18008005249333367,down,389.263397063447,344.5,-31.19999999999999,364.5,22050,364.5,389.263397063447,374.9,10.399999999999977,down
2024-05-07 14:39:00,374.9,buy,0.30039521516516743,-1.8161278173936644,up,368.98580054565116,394.9,-10.399999999999977,374.9,22050,374.9,368.98580054565116,375.3,0.4000000000000341,up
2024-05-07 14:57:00,375.3,sell,-0.7148834230320062,1.4234600094033907,down,385.8365908218564,355.3,0.4000000000000341,375.3,22050,375.3,385.8365908218564,357.75,-17.55000000000001,down
2024-05-08 09:46:00,357.75,buy,0.4420515356144392,-0.30888095368463964,up,344.9811974964169,377.75,17.55000000000001,357.75,22050,357.75,344.9811974964169,337.2,-20.55000000000001,up
2024-05-08 09:53:00,337.2,sell,-0.3461728016038137,0.5496530264859515,down,346.28218802920065,317.2,-20.55000000000001,337.2,22050,337.2,346.28218802920065,350.0,12.800000000000011,down
2024-05-08 10:02:00,350.0,buy,0.28807583397866665,-0.4617110890939252,up,344.09937003454814,370.0,-12.800000000000011,350.0,22050,350.0,344.09937003454814,322.25,-27.75,up
2024-05-08 10:22:00,322.25,sell,-2.315649096207153,0.6488147172447556,down,355.51009474276947,302.25,-27.75,322.25,22050,322.25,355.51009474276947,322.6,0.35000000000002274,down
2024-05-08 10:57:00,322.6,buy,0.7098059353029953,-0.5342566690041075,up,310.4105094867945,342.6,-0.35000000000002274,322.6,22050,322.6,310.4105094867945,402.0,79.39999999999998,up
2024-05-08 12:29:00,402.0,sell,-0.3102820431011537,1.7281369532637159,down,410.7111614146602,382.0,79.39999999999998,402.0,22050,402.0,410.7111614146602,405.5,3.5,down
2024-05-08 12:32:00,405.5,sell,-0.18469872851159153,0.8427319393231479,down,410.9457146443061,385.5,3.5,405.5,22050,405.5,410.9457146443061,404.0,-1.5,down
2024-05-08 12:46:00,404.0,buy,0.022110901123824078,-0.8105867976212808,up,401.47357252534124,424.0,1.5,404.0,22050,404.0,401.47357252534124,415.0,11.0,up
2024-05-08 13:02:00,415.0,sell,-0.0400758605975966,1.090297813187447,down,416.5698529244981,395.0,11.0,415.0,22050,415.0,416.5698529244981,421.15,6.149999999999977,down
2024-05-08 13:11:00,421.15,buy,0.24107072088838777,-0.19603595805790264,up,415.3227270528205,441.15,-6.149999999999977,421.15,22050,421.15,415.3227270528205,427.1,5.9500000000000455,up
2024-05-08 13:16:00,427.1,buy,0.6868205976394961,0.10044976938813796,up,417.15320720066836,447.1,-5.9500000000000455,427.1,22050,427.1,417.15320720066836,412.35,-14.75,up
2024-05-08 13:35:00,412.35,sell,-0.22044753856715715,0.6911421408466983,down,423.83551067074546,392.35,-14.75,412.35,22050,412.35,423.83551067074546,392.95,-19.400000000000034,down
2024-05-08 13:58:00,392.95,buy,0.14654972990842907,-2.473256455603799,up,382.7908308514143,412.95,19.400000000000034,392.95,22050,392.95,382.7908308514143,358.4,-34.55000000000001,up
2024-05-08 14:33:00,358.4,buy,0.0516949855144162,-1.4025160053146246,up,350.81027929201616,378.4,34.55000000000001,358.4,22050,358.4,350.81027929201616,357.3,-1.099999999999966,up
2024-05-08 14:43:00,357.3,buy,0.03061522956539875,-0.2233914157769534,up,351.106466439056,377.3,1.099999999999966,357.3,22050,357.3,351.106466439056,357.6,0.30000000000001137,up
2024-05-08 15:00:00,357.6,sell,-0.30376422376224355,1.046311005482033,down,363.69681099021295,337.6,0.30000000000001137,357.6,22050,357.6,363.69681099021295,361.85,4.25,down
2024-05-08 15:05:00,361.85,sell,-0.07752130386785439,0.43441868647283954,down,364.84255502527304,341.85,4.25,361.85,22050,361.85,364.84255502527304,362.55,0.6999999999999886,down
2024-05-08 15:25:00,362.55,buy,0.2002994829666136,-0.4375354848373369,up,359.22230818875533,382.55,-0.6999999999999886,362.55,22050,362.55,359.22230818875533,348.85,-13.699999999999989,up
2024-05-09 09:16:00,348.85,sell,-0.47116215691568186,-0.0537895864730003,down,357.69458075783314,328.85,-13.699999999999989,348.85,22050,348.85,357.69458075783314,250.25,-98.60000000000002,down
2024-05-09 10:59:00,250.25,buy,0.276531657033928,-0.6098133196910839,up,246.09155389833052,270.25,98.60000000000002,250.25,22050,250.25,246.09155389833052,241.25,-9.0,up
2024-05-09 11:34:00,241.25,buy,0.26736483285276336,-0.21074329172367878,up,235.7479773031831,261.25,9.0,241.25,22050,241.25,235.7479773031831,248.45,7.199999999999989,up
2024-05-09 11:57:00,248.45,sell,-0.0025567990396666573,0.808835798322607,down,249.48914467997335,228.45,7.199999999999989,248.45,22050,248.45,249.48914467997335,246.65,-1.799999999999983,down
2024-05-09 12:03:00,246.65,sell,-0.11705787588132921,0.2666243440382008,down,249.438207142987,226.65,-1.799999999999983,246.65,22050,246.65,249.438207142987,250.95,4.299999999999983,down
2024-05-09 12:14:00,250.95,buy,0.10387327431055837,-0.23272465141230525,up,248.2103664296481,270.95,-4.299999999999983,250.95,22050,250.95,248.2103664296481,245.25,-5.699999999999989,up
2024-05-09 12:27:00,245.25,sell,-0.3952272854103285,0.7339079628967018,down,253.47708863903134,225.25,-5.699999999999989,245.25,22050,245.25,253.47708863903134,188.45,-56.80000000000001,down
2024-05-09 13:34:00,188.45,buy,0.0013969646217901754,-0.5042932007519207,up,188.17484779049227,208.45,56.80000000000001,188.45,22050,188.45,188.17484779049227,188.45,0.0,up
2024-05-09 13:55:00,188.45,sell,-0.20503134673151635,0.5409790093099645,down,193.35083137348113,168.45,0.0,188.45,22050,188.45,193.35083137348113,194.6,6.150000000000006,down
2024-05-09 14:08:00,194.6,buy,0.1937968859684247,-0.532837881068105,up,189.20794191489426,214.6,-6.150000000000006,194.6,22050,194.6,189.20794191489426,190.05,-4.549999999999983,up
2024-05-09 14:27:00,190.05,sell,-0.06869385250661253,0.20265579163766628,down,192.57950087106042,170.05,-4.549999999999983,190.05,22050,190.05,192.57950087106042,181.35,-8.700000000000017,down
2024-05-09 14:52:00,181.35,buy,0.04952636643997721,-1.1337112673644887,up,174.25967935061553,201.35,8.700000000000017,181.35,22050,181.35,174.25967935061553,,,up
